year,make,model,trim,exterior_color,interior_color,drivetrain,fuel_type,transmission,mileage,in_accident,1_owner,personal_used,price
2016,Acura,RDX,Base,Graphite Luster Metallic,Ebony,Front-wheel Drive,Gasoline,6-Speed Automatic,80918,TRUE,FALSE,TRUE,19898
2019,Acura,RDX,Technology Package,Lunar Silver Metallic,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,28277,FALSE,TRUE,TRUE,33588
2022,Acura,RDX,Technology Package,Majestic Black Pearl,Parchment,Front-wheel Drive,Gasoline,10-Speed Automatic,4795,FALSE,TRUE,FALSE,42495
2021,Acura,RDX,Base,Platinum White Pearl,Parchment,Front-wheel Drive,Gasoline,10-Speed Automatic,13884,FALSE,TRUE,TRUE,37595
2019,Acura,RDX,Advance Package,Black,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,41492,FALSE,TRUE,TRUE,34350
2019,Acura,RDX,Advance Package,Gunmetal Metallic,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,20005,FALSE,TRUE,TRUE,35349
2014,Acura,RDX,Technology,White Diamond Pearl,Parchment,All-wheel Drive,Gasoline,6-Speed Automatic,96967,FALSE,TRUE,TRUE,16890
2020,Acura,RDX,Advance Package,Platinum White Pearl,Parchment,Front-wheel Drive,Gasoline,10-Speed Automatic,20926,FALSE,TRUE,TRUE,38795
2019,Acura,RLX,FWD w/Technology Package,Platinum White Pearl,Espresso,Front-wheel Drive,Gasoline,10-Speed Automatic,16599,FALSE,FALSE,TRUE,42595
2020,Acura,MDX,3.5L w/Technology Package,Modern Steel Metallic,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,62249,FALSE,TRUE,TRUE,35695
2022,Acura,MDX,A-Spec,Performance Red Pearl,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,18517,FALSE,TRUE,FALSE,55595
2018,Acura,MDX,3.5L w/Technology Package,Modern Steel Metallic,Graystone,All-wheel Drive,Gasoline,9-Speed Automatic,51488,TRUE,TRUE,TRUE,32995
2021,Acura,RDX,Technology Package,Platinum White Pearl,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,35741,FALSE,TRUE,TRUE,37595
2018,Acura,RDX,Advance Package,Modern Steel,Ebony,All-wheel Drive,Gasoline,6-Speed Automatic,15472,TRUE,FALSE,TRUE,30488
2020,Acura,RDX,A-Spec,Gray,Red,All-wheel Drive,Gasoline,10-Speed Automatic,49073,TRUE,FALSE,TRUE,33989
2020,Acura,MDX,3.5L w/Technology Package,Lunar Silver Metallic,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,30361,FALSE,FALSE,TRUE,35989
2014,Acura,MDX,3.5L Technology Package,Graphite Luster Metallic,Ebony,Front-wheel Drive,Gasoline,6-Speed Automatic,147432,FALSE,TRUE,TRUE,14991
2017,Acura,TLX,V6 w/Technology Package,Modern Steel Metallic,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,62894,TRUE,FALSE,FALSE,21299
2013,Acura,RDX,Technology,Graphite Luster Metallic,Ebony,All-wheel Drive,Gasoline,Automatic,110097,FALSE,FALSE,TRUE,16488
2017,Acura,RLX,Technology Package,White,Seacoast,Front-wheel Drive,Gasoline,6-Speed Automatic,83724,FALSE,TRUE,FALSE,22950
2020,Acura,MDX,3.5L w/Technology Package,Silver,Ebony,All-wheel Drive,Gasoline,9-Speed Automatic,38912,TRUE,TRUE,TRUE,36998
2017,Acura,MDX,3.5L w/Technology Package,Silver,Graystone,All-wheel Drive,Gasoline,9-Speed Automatic,69900,TRUE,FALSE,FALSE,23950
2017,Acura,MDX,3.5L w/Technology Package,White,Ebony,All-wheel Drive,Gasoline,9-Speed Automatic,101362,FALSE,FALSE,TRUE,22950
2014,Acura,MDX,3.5L,Silver,Gray,All-wheel Drive,Gasoline,6-Speed Automatic,98500,FALSE,TRUE,TRUE,18450
2022,Acura,MDX,Technology,Silver,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,16657,FALSE,TRUE,FALSE,47999
